,player_name,year,team,player_position,player_height,player_weight,process_status
0,Mason Leggett,2013,Jacksonville St.,Guard,183,81,Success
1,Malick Kone,2013,Rutgers,Guard,196,90,Success
2,Chase Fischer,2013,Wake Forest,Guard,190,88,Success
3,Marcellus Barksdale,2013,IUPUI,Guard,196,95,Success
4,David Wear,2013,UCLA,Forward,208,104,Success
5,Doug Niedrich,2013,Wake Forest,Forward,198,92,Success
6,Jan Petrovcic,2013,Southeastern Louisiana,Forward,203,102,Success
7,Anson Winder,2013,BYU,Guard,190,86,Success
8,Kirk Korver,2013,UMKC,Forward,201,99,Success
9,Quinton Gustavson,2013,Milwaukee,Forward,206,90,Success
10,Marcel Smith,2013,Houston Baptist,Guard,168,68,Success
11,Kye Kurkowski,2013,Nebraska,Center,211,97,Success
12,Blake Ralling,2013,Mississippi Valley St.,Forward,198,95,Success
13,Derrell Taylor,2013,Jackson St.,Forward,198,90,Success
14,Tyler Kalinoski,2013,Davidson,Guard,193,81,Success
15,Raph Thomas-Edwards,2013,Buffalo,-1,-1,-1,Failure: Did not find player
16,Lewis Thomas,2013,UC Santa Barbara,Forward,201,95,Success
17,Brad Waldow,2013,Saint Mary's,Forward,206,117,Success
18,Dave Whitmore,2013,Arizona St.,-1,-1,-1,Failure: Did not find player
19,Jordan Williams,2013,North Texas,Forward,208,117,Success
20,Tony Mitchell,2013,North Texas,Forward,201,0,Success
21,Brandan Walton,2013,North Texas,Guard,188,88,Success
22,Taylor Walker,2013,Loyola Marymount,Guard,185,81,Success
23,Thomas van der Mars,2013,Portland,Center,211,106,Success
24,Roquez Johnson,2013,Mississippi St.,Forward,201,95,Success
25,Daniel Mullings,2013,New Mexico St.,Guard,188,77,Success
26,T.J. Hallice,2013,Mercer,Forward,208,99,Success
27,Travis Smith,2013,Mercer,Guard,190,88,Success
28,Saah Nimley,2013,Charleston Southern,Guard,173,71,Success
29,Karamo Jawara,2013,North Carolina Central,Forward,203,106,Success
30,Kevin Hardy,2013,McNeese St.,Guard,188,81,Success
31,Michael Hale III,2013,UTSA,-1,-1,-1,Failure: Did not find player
32,Adrick McKinney,2013,TCU,Forward,203,117,Success
