,player_index,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,year,pid,Height,Weight,conference_A10,conference_ACC,conference_AE,conference_ASun,conference_Amer,conference_B10,conference_B12,conference_BE,conference_BSky,conference_BSth,conference_BW,conference_CAA,conference_CUSA,conference_GWC,conference_Horz,conference_Ind,conference_Ivy,conference_MAAC,conference_MAC,conference_MEAC,conference_MVC,conference_MWC,conference_NEC,conference_OVC,conference_P10,conference_P12,conference_Pat,conference_SB,conference_SC,conference_SEC,conference_SWAC,conference_Slnd,conference_Sum,conference_WAC,conference_WCC,conference_ind,player_yr_0,player_yr_42.9,player_yr_57.1,player_yr_Fr,player_yr_Jr,player_yr_None,player_yr_So,player_yr_Sr,player_pos_Center,player_pos_Forward,player_pos_Guard,Draft Pred,Draft Pick
281,Javante McCoy-2022-Boston University,16,69.6,110.4,26.3,52.3,56.36,3.9,12.3,16.1,14.4,51,65,0.785,81,150,0.54,15,48,0.313,1.1,1.5,32.8,3.29314,115.564,2.2,2022,50616,196.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.409864e-05,0
282,Sukhmail Mathon-2022-Boston University,18,68.1,120.1,21.4,56.7,60.42,11.4,23.8,13.7,14.7,41,53,0.774,79,138,0.572,1,4,0.25,4.5,1.1,37.3,3.20134,119.146,2.5,2022,50617,208.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.322059e-05,0
283,Walter Whyte-2022-Boston University,16,68.6,102.1,24.6,46.4,50.86,8.0,16.8,6.0,14.1,48,66,0.727,57,111,0.514,18,70,0.257,2.1,2.0,36.5,2.17673,105.573,2.1,2022,50619,198.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.40056e-05,0
284,Paul Newman-2022-Albany,12,43.1,95.3,17.2,62.2,58.41,8.9,20.5,2.8,24.7,6,17,0.353,28,45,0.622,0,0,0.0,4.5,1.3,37.8,0.149662,87.7561,7.9,2022,50623,198.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.2995925e-05,0
285,Jimmy Sotos-2022-Ohio St.,12,9.2,104.5,12.9,47.2,50.25,3.1,5.8,18.8,23.9,3,4,0.75,1,3,0.333,5,15,0.333,1.0,1.5,22.2,0.425002,98.0362,5.2,2022,50624,190.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.2357314e-05,0
286,Connor McCaffery-2022-Iowa,31,56.7,105.9,11.7,41.2,43.62,2.2,11.8,22.0,20.4,17,29,0.586,15,37,0.405,18,65,0.277,0.3,1.5,28.4,1.07477,98.9108,4.6,2022,50631,196.0,92.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.2408595e-05,0
287,Ryan McAdoo-2022-North Carolina,9,1.4,14.0,12.0,0.0,0.0,0.0,6.8,9.1,28.8,0,0,0.0,0,2,0.0,0,2,0.0,0.0,0.0,0.0,-0.455622,11.3977,0.0,2022,50633,196.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.499588e-05,0
288,Jase Febres-2022-Texas,13,20.0,126.9,12.5,57.1,58.72,1.1,8.3,8.4,6.3,4,4,1.0,2,5,0.4,20,51,0.392,1.9,1.1,7.1,2.06423,120.908,2.4,2022,50639,196.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.257105e-05,0
289,Marquis Godwin-2022-Hampton,22,71.4,89.9,17.1,46.4,47.5,1.1,10.3,4.2,12.6,13,18,0.722,40,90,0.444,42,132,0.318,0.3,0.6,8.1,-0.309873,82.5042,2.1,2022,50642,196.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.3385705e-05,0
290,Zach Jacobs-2022-James Madison,17,35.0,101.8,17.8,47.9,48.67,7.2,16.8,9.3,11.8,9,17,0.529,32,62,0.516,1,8,0.125,1.6,1.6,24.3,0.613889,97.8924,3.2,2022,50646,203.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.253526e-05,0
