,player_name,year,team,player_position,player_height,player_weight,process_status
3956,Trent Blakley,2009,Cal St. Bakersfield,-1,-1,-1,Failure: Did not find player
3964,Michael Washington,2009,Arkansas,-1,-1,-1,Failure: Did not find player
3965,Stefan Welsh,2009,Arkansas,-1,-1,-1,Failure: Did not find player
3966,Zach Moritz,2009,Boise St.,-1,-1,-1,Failure: Did not find player
3975,Wesley Channels,2009,Austin Peay,-1,-1,-1,Failure: Did not find player
3980,Tim Zephyr,2009,Norfolk St.,-1,-1,-1,Failure: Did not find player
3983,Anthony Mason Jr.,2009,St. John's,-1,-1,-1,Failure: Did not find player
3985,Tony White Jr.,2009,College of Charleston,-1,-1,-1,Failure: Did not find player
3989,Ceola Clark III,2009,Western Illinois,-1,-1,-1,Failure: Did not find player
3990,Morris Smith IV,2009,UTSA,-1,-1,-1,Failure: Did not find player
3994,Cliff Spiller,2009,Wagner,-1,-1,-1,Failure: Did not find player
3997,Andres Irarrazabal,2009,Tennessee Martin,-1,-1,-1,Failure: Did not find player
4001,Rodney Haddix II,2009,Miami OH,-1,-1,-1,Failure: Did not find player
4007,Cam Long,2009,George Mason,-1,-1,-1,Failure: Did not find player
4008,Vince Goldsberry,2009,Coppin St.,-1,-1,-1,Failure: Did not find player
4009,Zachery Peacock,2009,Georgia Tech,-1,-1,-1,Failure: Did not find player
4010,Dwight Thorne II,2009,Colorado,-1,-1,-1,Failure: Did not find player
4011,Malcolm Eleby,2009,St. Bonaventure,-1,-1,-1,Failure: Did not find player
4012,Chris Meriwether,2009,Vanderbilt,-1,-1,-1,Failure: Did not find player
4013,Emmanuel Bidias a Moute,2009,Texas St.,-1,-1,-1,Failure: Did not find player
4025,Seve Beach,2009,IPFW,-1,-1,-1,Failure: Did not find player
4027,Westley Telafare,2009,South Carolina St.,-1,-1,-1,Failure: Did not find player
4028,Patrick Inyard,2009,UMKC,-1,-1,-1,Failure: Did not find player
4030,Ricky Bolton Jr.,2009,Winston Salem St.,-1,-1,-1,Failure: Did not find player
4032,Ralph Sampson III,2009,Minnesota,-1,-1,-1,Failure: Did not find player
4039,Rickey Parks,2009,Arkansas Pine Bluff,-1,-1,-1,Failure: Did not find player
4040,Ish Smith,2009,Wake Forest,-1,-1,-1,Failure: Did not find player
4042,Eddie Hayden,2009,Coppin St.,-1,-1,-1,Failure: Did not find player
4044,Ben Jonson,2009,Colgate,-1,-1,-1,Failure: Did not find player
4046,Darion 'Jake' Anderson,2009,Northern Illinois,-1,-1,-1,Failure: Did not find player
4049,Earl Gee II,2009,Longwood,-1,-1,-1,Failure: Did not find player
4053,Rob Wilson,2009,Wisconsin,-1,-1,-1,Failure: Did not find player
4057,Kenneth Cooper,2009,Louisiana Tech,-1,-1,-1,Failure: Did not find player
4066,Dewayne Wright Jr.,2009,Eastern Illinois,-1,-1,-1,Failure: Did not find player
4067,David Diakite,2009,UCF,-1,-1,-1,Failure: Did not find player
4068,Douglas Davis,2009,Princeton,-1,-1,-1,Failure: Did not find player
4071,Emeka Okafor Jr.,2009,Toledo,-1,-1,-1,Failure: Did not find player
4079,Dominique Lacy,2009,UNC Wilmington,-1,-1,-1,Failure: Did not find player
4080,Joe Dorsett-Jeffreys,2009,Norfolk St.,-1,-1,-1,Failure: Did not find player
4081,Trey Harmon,2009,Cleveland St.,-1,-1,-1,Failure: Did not find player
4084,LaMarcus Reed III,2009,UT Arlington,-1,-1,-1,Failure: Did not find player
4094,Jonathan Ntoko,2009,Hampton,-1,-1,-1,Failure: Did not find player
4096,Dwight Gentry II,2009,UT Arlington,-1,-1,-1,Failure: Did not find player
4097,Billy Robinson Jr.,2009,Longwood,-1,-1,-1,Failure: Did not find player
4106,Will Cooper,2009,Eastern Michigan,-1,-1,-1,Failure: Did not find player
4108,Douglas Scott,2009,Southern,-1,-1,-1,Failure: Did not find player
4121,Verdell Jones III,2009,Indiana,-1,-1,-1,Failure: Did not find player
4122,Lamont Morgan Jr.,2009,BYU,-1,-1,-1,Failure: Did not find player
4132,Rodriquez Sherman,2009,Kent St.,-1,-1,-1,Failure: Did not find player
