,player_name,year,team,player_position,player_height,player_weight,process_status
0,Parker Ernsthausen,2017,Wright St.,Forward,211,108,Success
1,Xeyrius Williams,2017,Dayton,-1,-1,-1,Failure: Did not find player
2,Jack Williams,2017,Pacific,Forward,203,99,Success
3,Akoy Agau,2017,Georgetown,Forward,203,108,Success
4,Koh Flippin,2017,UC Riverside,Guard,188,74,Success
5,Jovan Grujic,2017,Stephen F. Austin,Center,213,109,Success
6,Brandon Randolph,2017,Utah Valley,Guard,188,85,Success
7,JaJuan Johnson,2017,Marquette,Forward,208,100,Success
8,Ahmaad Rorie,2017,Montana,Guard,185,79,Success
9,Trey Dickerson,2017,South Dakota,Guard,183,77,Success
10,Matt Heldt,2017,Marquette,-1,-1,-1,Failure: Did not find player
11,Haanif Cheatham,2017,Marquette,Guard,198,88,Success
12,Traci Carter,2017,Marquette,Guard,185,79,Success
13,Erten Gazi,2017,DePaul,Guard,190,92,Success
14,Jab Singleton,2017,Southeastern Louisiana,-1,-1,-1,Failure: Did not find player
15,Jordan Murphy,2017,Minnesota,Forward,198,113,Success
16,Cam Marotta,2017,Marquette,Guard,178,79,Success
17,Ryan Mikesell,2017,Dayton,Forward,201,98,Success
18,Marquis Salmon,2017,Wagner,Forward,201,95,Success
19,Marcus Bryan,2017,UNC Wilmington,Forward,201,102,Success
20,Trever Spoja,2017,Montana,-1,-1,-1,Failure: Did not find player
21,Justin Dahl,2017,Northern Iowa,Center,213,118,Success
22,Kaiser Gates,2017,Xavier,Forward,203,92,Success
23,Frank Byers,2017,Texas A&M,Guard,178,81,Success
24,Kyren Block,2017,Houston Baptist,Guard,198,81,Success
25,Charles Callison,2017,Washington St.,Guard,183,81,Success
26,Matisse Thybulle,2017,Washington,Guard,196,88,Success
27,Charles Cooke,2017,Dayton,Guard,196,87,Success
28,Montaque Gill-Caesar,2017,San Diego St.,Guard,198,97,Success
29,Stephen Strachan,2017,Middle Tennessee,Guard,188,89,Success
30,Aaron Carver,2017,Old Dominion,Forward,201,102,Success
31,Logan Routt,2017,West Virginia,Forward,211,113,Success
32,Damiyne Durham,2017,Cal St. Bakersfield,Guard,193,81,Success
33,Damon Wilson,2017,Pittsburgh,Guard,196,86,Success
34,Connor Bennett,2017,UMass Lowell,Forward,211,106,Success
35,Tyler Streeter,2017,Morgan St.,Guard,193,86,Success
36,TeMarcus Blanton,2017,South Carolina,Guard,196,94,Success
37,Cameron Walker,2017,Stanford,Forward,201,90,Success
38,Malik Pugh,2017,Tennessee Martin,Guard,185,74,Success
39,Gabe Levin,2017,Long Beach St.,Forward,201,104,Success
40,Dan Sheets,2017,Saint Mary's,Forward,196,92,Success
41,Kenny Williams,2017,North Carolina,Guard,175,77,Success
42,Torloft Thomas,2017,Alabama St.,-1,-1,-1,Failure: Did not find player
43,Lindsey Drew,2017,Nevada,Guard,193,81,Success
44,Myles Stephens,2017,Princeton,Guard,196,95,Success
45,Walter Jones,2017,UT Rio Grande Valley,Guard,193,90,Success
46,James Claar,2017,Western Illinois,Forward,203,97,Success
47,Beau Brown,2017,South Dakota St.,Guard,185,79,Success
48,Delo Bruster,2017,Western Illinois,-1,-1,-1,Failure: Did not find player
49,Cole Gentry,2017,South Dakota St.,Guard,178,81,Success
50,Dan Jech,2017,South Dakota,Forward,206,104,Success
51,Tevin King,2017,South Dakota St.,Guard,188,92,Success
52,Tyler Hagedorn,2017,South Dakota,Forward,208,104,Success
53,Nick Weiler-Babb,2017,Iowa St.,Guard,196,92,Success
54,Ryan Taylor,2017,Evansville,Forward,196,102,Success
55,Justin Wright-Foreman,2017,Hofstra,Guard,188,86,Success
56,Braiden Shaw,2017,BYU,Forward,206,95,Success
57,Xavier Hallinan,2017,Portland,Guard,185,77,Success
58,Rashad Jackson,2017,Portland,Guard,193,81,Success
59,Derrik Smits,2017,Valparaiso,Center,216,106,Success
60,Anthony Vanhook,2017,Charlotte,Forward,193,95,Success
61,John Sica,2017,Columbia,Forward,201,88,Success
62,Marcus Romain,2017,Mississippi Valley St.,Guard,188,78,Success
63,Dennis Tunstall,2017,Towson,Forward,206,102,Success
