,player_name,year,team,player_position,player_height,player_weight,process_status
0,Isaiah Felder,2022,South Carolina St.,Guard,183,86,Success
1,Jalen Coleman-Lands,2022,Kansas,Guard,193,84,Success
2,K.J. Walton,2022,Akron,Guard,190,90,Success
3,Jeriah Horne,2022,Tulsa,Forward,201,99,Success
4,Eric Curry,2022,Minnesota,Forward,206,108,Success
5,Jailyn Ingram,2022,Georgia,Forward,201,97,Success
6,Quentin Jackson Jr.,2022,Loyola Marymount,-1,-1,-1,Failure: Did not find player
7,Charlie Moore,2022,Miami FL,Guard,180,81,Success
8,Ben Shungu,2022,Vermont,Guard,188,90,Success
9,Keon Clergeot,2022,Southeastern Louisiana,Guard,185,86,Success
10,Bryce Aiken,2022,Seton Hall,Guard,183,81,Success
11,Peter Kiss,2022,Bryant,Guard,196,90,Success
12,George Willborn III,2022,UC Riverside,-1,-1,-1,Failure: Did not find player
13,Kevin Marfo,2022,Quinnipiac,Forward,203,112,Success
14,Jair Bolden,2022,Butler,Guard,190,95,Success
15,Joey Brunk,2022,Ohio St.,Forward,211,115,Success
16,Davion Mintz,2022,Kentucky,Guard,190,88,Success
17,Tyson Jolly,2022,Iona,Guard,193,86,Success
18,AJ Wilson,2022,South Carolina,Forward,198,97,Success
19,Xavier Green,2022,Maryland,Guard,198,90,Success
20,Tareq Coburn,2022,St. John's,Guard,196,92,Success
21,Tavian Dunn-Martin,2022,Florida Gulf Coast,Guard,173,70,Success
22,Jakolby Long,2022,Bethune Cookman,Guard,196,95,Success
23,Taze Moore,2022,Houston,Forward,196,81,Success
24,Justin Edler-Davis,2022,Cal St. Bakersfield,Guard,193,97,Success
25,Greg Lee,2022,Penn St.,Guard,206,95,Success
26,Brandon Johnson,2022,DePaul,Forward,203,99,Success
27,Nick Robinson,2022,Western Carolina,Forward,198,92,Success
28,Grant Golden,2022,Richmond,Forward,208,115,Success
29,De'Monte Buckingham,2022,UNC Greensboro,Guard,193,99,Success
30,Nick Sherod,2022,Richmond,Guard,193,104,Success
31,Chance Garvin,2022,Idaho,Guard,193,87,Success
32,Perry Francois,2022,Charlotte,Forward,203,108,Success
33,Vittorio Reynoso-Avila,2022,Santa Clara,Forward,196,90,Success
34,Randy Miller Jr.,2022,North Carolina Central,-1,-1,-1,Failure: Did not find player
35,Ryan Gomes,2022,Houston Baptist,Forward,201,113,Success
36,Nolan Taylor,2022,Southeast Missouri St.,Forward,201,117,Success
37,Scott Spencer,2022,Tulane,Guard,198,92,Success
38,Algevon Eichelberger,2022,Cleveland St.,-1,-1,-1,Failure: Did not find player
39,Eron Gordon,2022,Valparaiso,Guard,190,92,Success
40,Mitch Lightfoot,2022,Kansas,Forward,203,102,Success
41,Nate Johnson,2022,Xavier,Center,206,0,Success
42,Drew Buggs,2022,Winthrop,Guard,190,88,Success
43,Devin Kirby,2022,Montana St.,Center,211,102,Success
44,Keith Fisher III,2022,Pepperdine,Forward,203,97,Success
45,Ben Coupet Jr.,2022,Southern Illinois,-1,-1,-1,Failure: Did not find player
46,Kenny Cooper,2022,Tennessee St.,Center,208,117,Success
47,James Scott,2022,Eastern Michigan,Forward,198,81,Success
48,Nick Hopkins,2022,Siena,Guard,183,78,Success
49,DeAndre Dishman,2022,Middle Tennessee,Forward,198,106,Success
50,Osinachi Smart,2022,College of Charleston,Center,203,108,Success
51,Corey Allen,2022,Georgia St.,Guard,185,68,Success
52,Justin Hopkins,2022,Texas Southern,Guard,196,92,Success
53,Damien Sears,2022,Southern,Forward,201,111,Success
54,Patrick Tape,2022,San Francisco,Forward,206,105,Success
55,Jordan Bell,2022,Pacific,Forward,201,86,Success
56,Jalen Dupree,2022,Tennessee St.,Forward,203,106,Success
57,Abdul Ado,2022,Cincinnati,Forward,211,115,Success
58,Jaylen Fornes,2022,UNC Wilmington,Guard,190,95,Success
59,Stafford Trueheart,2022,Hofstra,Forward,203,92,Success
60,Dejuan Clayton,2022,Hartford,Guard,188,83,Success
61,Trevor Anderson,2022,Valparaiso,Guard,190,88,Success
62,Rodney Miller Jr.,2022,Miami FL,-1,-1,-1,Failure: Did not find player
63,Brevin Galloway,2022,Boston College,Guard,188,97,Success
64,Chevez Goodwin,2022,USC,Forward,206,97,Success
65,Mike Henn,2022,Denver,Forward,203,102,Success
66,Ty Graves,2022,North Carolina Central,Guard,178,72,Success
67,Jeremy Sheppard,2022,Rhode Island,Guard,185,74,Success
68,Shawn Williams,2022,Arkansas Pine Bluff,Guard,178,0,Success
69,Ty Groce,2022,Butler,Forward,203,97,Success
70,Chris Lester,2022,New Hampshire,Forward,198,102,Success
71,Dimencio Vaughn,2022,Rider,Guard,196,97,Success
72,Ahsante Shivers,2022,Southern,Guard,193,95,Success
73,Shandon Goldman,2022,Tennessee Tech,Forward,208,102,Success
74,Andre Jones,2022,Louisiana Monroe,Guard,188,88,Success
75,Josh Parrish,2022,San Diego,Guard,193,97,Success
76,Tyler Stewart,2022,St. Francis PA,Guard,203,88,Success
77,Nysier Brooks,2022,Mississippi,Center,213,108,Success
78,C.J. Keyser,2022,Old Dominion,Guard,190,86,Success
79,Jordan Jones,2022,Marist,Forward,203,92,Success
80,Precious Ayah,2022,Miami OH,Forward,198,102,Success
81,Andrew Garcia,2022,Kent St.,Guard,188,88,Success
82,Michael Almonacy,2022,Appalachian St.,Guard,183,81,Success
83,Darian Adams,2022,Jacksonville St.,Guard,190,90,Success
84,Jannson Williams,2022,Eastern Kentucky,Forward,206,99,Success
85,Josh Ayeni,2022,Chattanooga,Forward,201,94,Success
86,Joshua Tomiac,2022,San Diego St.,-1,-1,-1,Failure: Did not find player
87,Jared Chatham,2022,Central Arkansas,Forward,203,83,Success
88,Jacob Young,2022,Oregon,Guard,188,83,Success
89,Andrew Jones,2022,Texas,Forward,208,111,Success
