,player_name,year,team,player_position,player_height,player_weight,process_status
0,Jay Shunnar,2011,Toledo,Guard,185,79,Success
1,James Fields,2011,Georgia St.,Guard,193,82,Success
2,Frankie Sullivan,2011,Auburn,Guard,185,93,Success
3,Reggie Middleton,2011,Winthrop,Guard,185,88,Success
4,Andre Jones,2011,Winthrop,Guard,188,88,Success
5,Lance Pevehouse,2011,Sam Houston St.,Guard,188,83,Success
6,Antuan Bootle,2011,Sam Houston St.,Center,201,120,Success
7,Drae Murray,2011,Sam Houston St.,Guard,178,68,Success
8,Jordan Taylor,2011,Wisconsin,Guard,185,88,Success
9,Eugene Phelps,2011,Long Beach St.,Forward,201,102,Success
10,Ben Eaves,2011,Rhode Island,Forward,201,102,Success
11,Daniel Deane,2011,Oregon St.,Forward,203,111,Success
12,Devin Hill,2011,DePaul,Forward,206,104,Success
13,Jeremiah Kelly,2011,DePaul,Guard,183,75,Success
14,John Comfort,2011,Princeton,Forward,201,89,Success
15,Patrick Saunders,2011,Princeton,Forward,203,92,Success
16,Juan Fernandez,2011,Temple,Guard,193,88,Success
17,Matt Bucklin,2011,Georgia,Guard,183,77,Success
18,Ted Connolly,2011,Navy,Guard,188,91,Success
19,Jeff Harris,2011,Holy Cross,Guard,178,68,Success
20,Chris Bass,2011,LSU,Guard,185,86,Success
21,Kris Joseph,2011,Syracuse,Forward,201,95,Success
22,Jan van der Kooij,2011,Longwood,Forward,201,102,Success
23,Donavan Foster,2011,Detroit,Guard,178,72,Success
24,Michael Culpo,2011,LIU Brooklyn,Guard,185,81,Success
25,Arnold Mayorga,2011,LIU Brooklyn,Forward,201,102,Success
26,Jordan Sugars,2011,Navy,Guard,190,99,Success
27,Justin Maneri,2011,Lehigh,Center,203,108,Success
28,Andrew Steele,2011,Alabama,Guard,193,102,Success
29,JaMychal Green,2011,Alabama,Forward,203,108,Success
30,Rotnei Clarke,2011,Arkansas,Guard,183,83,Success
31,Derek Selvig,2011,Montana,Forward,213,104,Success
32,Kyle Bullinger,2011,Weber St.,Forward,198,97,Success
33,Darin Mahoney,2011,Weber St.,Forward,203,102,Success
34,Michael Davenport,2011,St. Bonaventure,Guard,196,95,Success
35,Francis-Cedric Martel,2011,Richmond,Forward,198,92,Success
36,Darrius Garrett,2011,Richmond,Center,206,95,Success
37,Jamar Samuels,2011,Kansas St.,Forward,201,104,Success
38,Lewis Jackson,2011,Purdue,Guard,175,74,Success
39,Malcolm Lee,2011,UCLA,Guard,196,81,Success
40,Jerime Anderson,2011,UCLA,-1,-1,-1,Failure: Did not find player
41,Brooks Ybarra,2011,Texas St.,Guard,193,88,Success
42,Anthony Miles,2011,Lamar,Guard,185,74,Success
43,Tre Nichols,2011,Boise St.,Guard,180,77,Success
44,John Bowman,2011,Texas St.,Guard,193,91,Success
45,Alex Tucker,2011,Florida Atlantic,Guard,180,74,Success
46,Josh Bonney,2011,Elon,Guard,178,79,Success
47,Storm Warren,2011,LSU,Forward,201,104,Success
48,Will Bogan,2011,Mississippi,Guard,185,77,Success
49,Noruwa Agho,2011,Columbia,Guard,190,99,Success
50,DeAndre Hopkins,2011,Clemson,Guard,188,92,Success
51,Cameron Witt,2011,Valparaiso,Forward,206,97,Success
52,Erik Buggs,2011,Valparaiso,Guard,180,70,Success
53,Steve Egee,2011,Columbia,Guard,188,86,Success
54,Matt Johnson,2011,Columbia,Guard,201,95,Success
55,Erik Rush,2011,Montana St.,Guard,196,95,Success
56,Danny Piepoli,2011,Montana St.,Forward,198,92,Success
57,Pat Bergmann,2011,Vermont,Forward,206,108,Success
58,Joe Hill,2011,American,Guard,188,90,Success
59,Riley Grafft,2011,American,Forward,211,99,Success
60,Jeffery McClain,2011,Murray St.,Forward,198,104,Success
61,Ivan Aska,2011,Murray St.,Forward,201,104,Success
62,Simon McCormack,2011,American,Guard,193,83,Success
63,Marcus Denmon,2011,Missouri,Guard,190,83,Success
64,Keiton Page,2011,Oklahoma St.,Guard,175,74,Success
65,Issac Gordon,2011,UTEP,-1,-1,-1,Failure: Did not find player
66,Matthew Wallace,2011,UNC Wilmington,Guard,185,77,Success
67,Brian Morris,2011,Towson,Forward,203,117,Success
68,Nick Mosakowski,2011,Boston College,Guard,185,84,Success
69,Tyler Trapani,2011,UCLA,Guard,183,86,Success
70,Jordan Juenemann,2011,Kansas,Guard,190,88,Success
71,Alex Jacobson,2011,Arizona,Center,213,114,Success
72,Andrew Hooper,2011,Denver,Forward,206,95,Success
73,Bryan Narcisse,2011,Clemson,Forward,198,102,Success
