,player_name,year,team,player_position,player_height,player_weight,process_status
0,Kentrell Garnett,2021,Louisiana Lafayette,Guard,185,74,Success
1,Judah Brown,2021,Saint Mary's,Forward,198,92,Success
2,Nate Heise,2021,Northern Iowa,Guard,193,86,Success
3,Kai Kostmayer,2021,Bryant,Forward,203,99,Success
4,Manny Crump,2021,Sam Houston St.,Forward,203,92,Success
5,Jarren Cook,2021,Sam Houston St.,Guard,193,90,Success
6,Justin Hill,2021,Longwood,Guard,183,83,Success
7,Chaunce Jenkins,2021,Wichita St.,Guard,193,79,Success
8,Keith Dinwiddie Jr.,2021,San Diego St.,-1,-1,-1,Failure: Did not find player
9,Alex Peterson,2021,Kennesaw St.,Forward,201,98,Success
10,Demetrius Rives,2021,Kennesaw St.,Forward,193,89,Success
11,Brandon Stroud,2021,Kennesaw St.,Guard,198,88,Success
12,Gage Gomez,2021,UC Santa Barbara,Guard,190,86,Success
13,Jackson Brown,2021,Albany,Guard,190,83,Success
14,Joshua Walker,2021,Radford,Forward,201,90,Success
15,John Hugley,2021,Pittsburgh,Forward,206,108,Success
16,Elton Walker,2021,Austin Peay,Forward,193,90,Success
17,Noah Collier,2021,Pittsburgh,Forward,203,95,Success
18,Femi Odukale,2021,Pittsburgh,Guard,196,83,Success
19,Lleyton Parker,2021,Dixie St.,Guard,190,88,Success
20,JaDun Michael,2021,Elon,Guard,196,83,Success
21,Colin Granger,2021,Ohio,Forward,206,104,Success
22,Rifen Miguel,2021,Ohio,Forward,203,108,Success
23,JT Shumate,2021,Toledo,Forward,201,95,Success
24,Jalin Anderson,2021,Loyola Marymount,Guard,193,80,Success
25,Christian Shumate,2021,Tulsa,Guard,198,83,Success
26,Ari Seals,2021,Tulsa,Guard,190,72,Success
27,Woody Newton,2021,Syracuse,Forward,203,90,Success
28,E.J. Clark,2021,Alabama St.,Guard,180,72,Success
29,Sam Mervis,2021,Indiana St.,Guard,180,78,Success
30,Luka Eller,2021,Miami OH,Forward,201,99,Success
31,Jackson Ames,2021,Miami OH,Center,211,108,Success
32,Jace Howard,2021,Michigan,Guard,201,95,Success
33,Max Burchill,2021,South Dakota,Guard,188,89,Success
34,Cem Kirciman,2021,Green Bay,Forward,203,99,Success
35,Taj Thweatt,2021,West Virginia,Forward,201,95,Success
36,Michael Matas,2021,SIU Edwardsville,Forward,203,90,Success
37,Josiah Fulcher,2021,Bowling Green,Guard,190,81,Success
38,Fah'Mir Ali,2021,Radford,Guard,178,81,Success
39,Caleb Huffman,2021,Central Michigan,Guard,193,83,Success
40,RJ Glasper,2021,Oral Roberts,Guard,183,81,Success
