,player_name,year,team,player_position,player_height,player_weight,process_status
0,Tariq Johnson,2019,Wyoming,Guard,196,93,Success
1,Connor Harding,2019,BYU,Guard,198,83,Success
2,AJ Green,2019,Northern Iowa,Guard,193,85,Success
3,Pantelis Xidias,2019,DePaul,Guard,178,74,Success
4,Jordan Phillips,2019,Arkansas,Forward,196,88,Success
5,Luke Nedrow,2019,Marist,Forward,201,102,Success
6,Matthew Herasme,2019,Marist,Guard,190,81,Success
7,Darius Hines,2019,Marist,Guard,180,72,Success
8,Samir Stewart,2019,Manhattan,Guard,185,81,Success
9,Daniel Schreier,2019,Manhattan,Forward,206,99,Success
10,Christian Hinckson,2019,Manhattan,Guard,201,95,Success
11,Elijah Buchanan,2019,Manhattan,Guard,196,86,Success
12,Ochai Agbaji,2019,Kansas,Guard,196,95,Success
13,Joey Calcaterra,2019,San Diego,Guard,190,74,Success
14,Hugh Hogland,2019,Portland,Forward,208,104,Success
15,Takiula Fahrensohn,2019,Portland,Guard,201,83,Success
16,David Wingett,2019,Memphis,Guard,201,92,Success
17,Jamari Blackmon,2019,North Alabama,Guard,185,92,Success
18,Juan Munoz,2019,Longwood,Guard,183,77,Success
19,Jeenathan Williams,2019,Buffalo,Forward,196,93,Success
20,Nevin Zink,2019,USC Upstate,Center,206,104,Success
21,Ronaldo Segu,2019,Buffalo,Guard,183,72,Success
22,Brandon Martin,2019,USC Upstate,-1,-1,-1,Failure: Did not find player
23,Bryson Mozone,2019,USC Upstate,Guard,198,90,Success
24,Ross Ryan,2019,USC Upstate,Center,206,100,Success
25,Nick Muszynski,2019,Belmont,Center,211,106,Success
26,Tate Pierson,2019,Belmont,Guard,198,95,Success
27,Michael Mayernick,2019,Belmont,Guard,173,68,Success
28,Alanzo Frink,2019,South Carolina,Forward,201,117,Success
29,Keyshawn Bryant,2019,South Carolina,Forward,196,89,Success
30,Ryan Rocuant,2019,Florida Gulf Coast,Center,208,106,Success
31,Jaylen Sims,2019,UNC Wilmington,Guard,198,88,Success
32,Jack Hoiberg,2019,Michigan St.,Guard,180,79,Success
33,Brian White,2019,Northwestern St.,Forward,203,88,Success
34,Ryan Krueger,2019,South Dakota St.,Guard,198,99,Success
35,Joe Bryant Jr.,2019,Norfolk St.,-1,-1,-1,Failure: Did not find player
36,Jahmel Myers,2019,New Orleans,Forward,198,97,Success
37,Amari Haynes,2019,New Orleans,Forward,206,94,Success
38,Tyron Brewer,2019,Southeastern Louisiana,Forward,206,95,Success
39,Parker Edwards,2019,Southeastern Louisiana,Guard,188,83,Success
40,Ethan Igbanugo,2019,North Dakota,Guard,190,86,Success
41,Aanen Moody,2019,North Dakota,Guard,190,74,Success
42,Francis Lacis,2019,Oral Roberts,Forward,201,97,Success
43,David Pierce,2019,Coastal Carolina,Forward,188,0,Success
44,David Kralj,2019,Coastal Carolina,Guard,193,95,Success
45,Malik LeGania,2019,Coastal Carolina,Guard,196,81,Success
46,Devante Jones,2019,Coastal Carolina,Guard,178,72,Success
47,Lamine Diane,2019,Cal St. Northridge,Forward,201,92,Success
48,EJ Montgomery,2019,Kentucky,Forward,208,103,Success
49,Zach Naylor,2019,Mississippi,Forward,203,99,Success
50,Blake Hinson,2019,Mississippi,Guard,201,106,Success
51,KJ Buffen,2019,Mississippi,Forward,201,104,Success
52,Tykei Greene,2019,Manhattan,Guard,193,92,Success
53,KC Hankton,2019,Saint Louis,Forward,201,98,Success
54,Brendan Adams,2019,Connecticut,Guard,193,88,Success
55,Ed Ferguson,2019,North Carolina A&T,Center,203,0,Success
56,Brock Washington,2019,Michigan St.,Guard,193,90,Success
57,Aguir Agau,2019,Fresno St.,Guard,201,86,Success
58,Andrew Ferguson,2019,San Diego,Center,213,104,Success
